seed=12, , _1, _2, _3, _4,seed=30, _5, _6, _7, _8, _9,seed=42, _10, _11, _12, _13, _14,seed=50, _15, _16, _17, _18, _19,seed=74, _20, _21, _22, _23, _24
0.049,0.04,0.02112676056338028,0.04924623115577889,0.1,0.0,0.051,0.1111111111111111,0.031578947368421054,0.05110220440881764,0.07692307692307693,0.14814814814814814,0.056,0.0,0.016,0.05616850551654965,0.0,0.0,0.054,0.06666666666666667,0.014804845222072678,0.05410821643286573,0.038461538461538464,0.14285714285714285,0.047,0.0,0.022889842632331903,0.04723618090452261,0.0,0.06666666666666667
0.051,0.12,0.024930747922437674,0.05120481927710843,0.21428571428571427,0.0,0.051,0.1,0.031578947368421054,0.05120481927710843,0.07142857142857142,0.14285714285714285,0.058,0.11764705882352941,0.019430051813471502,0.05811623246492986,0.09090909090909091,0.0,0.054,0.13333333333333333,0.01740294511378849,0.05410821643286573,0.07142857142857142,0.14814814814814814,0.049,0.0,0.023809523809523808,0.04919678714859438,0.0,0.0625
0.052,0.15,0.024896265560165973,0.05226130653266332,0.13636363636363635,0.0,0.054,0.1111111111111111,0.03129074315514994,0.05410821643286573,0.06666666666666667,0.14814814814814814,0.057,0.11764705882352941,0.017127799736495388,0.0572289156626506,0.08333333333333333,0.06666666666666667,0.055,0.13333333333333333,0.017615176151761516,0.05511022044088176,0.07692307692307693,0.14285714285714285,0.049,0.08333333333333333,0.02351313969571231,0.04924623115577889,0.05555555555555555,0.06451612903225806
0.058,0.3684210526315789,0.03346203346203346,0.05811623246492986,0.20588235294117646,0.0,0.054,0.25,0.03430079155672823,0.05410821643286573,0.08333333333333333,0.08333333333333333,0.058,0.3125,0.029831387808041506,0.05805805805805806,0.08333333333333333,0.06896551724137931,0.053,0.3125,0.022788203753351208,0.05315947843530592,0.09523809523809523,0.18181818181818182,0.051,0.09090909090909091,0.03287671232876712,0.05115346038114343,0.03333333333333333,0.07407407407407407
0.055,0.3888888888888889,0.033112582781456956,0.055055055055055056,0.17647058823529413,0.0,0.055,0.3333333333333333,0.035386631716906945,0.05511022044088176,0.1111111111111111,0.08,0.058,0.3125,0.029831387808041506,0.05805805805805806,0.08333333333333333,0.06896551724137931,0.053,0.3125,0.022788203753351208,0.05315947843530592,0.09523809523809523,0.18181818181818182,0.052,0.09090909090909091,0.03247631935047361,0.05220883534136546,0.03333333333333333,0.06896551724137931
0.093,0.08333333333333333,0.08747300215982722,0.093,0.125,0.2153846153846154,0.089,0.10526315789473684,0.08259911894273128,0.089,0.047619047619047616,0.0,0.08,0.0,0.0665163472378805,0.08,0.0,0.09090909090909091,0.091,0.2,0.09130434782608696,0.091,0.14,0.044444444444444446,0.075,0.03571428571428571,0.07359813084112149,0.075,0.045454545454545456,0.038461538461538464
0.093,0.09090909090909091,0.08934337997847147,0.093,0.11538461538461539,0.2222222222222222,0.089,0.1111111111111111,0.08167770419426049,0.089,0.045454545454545456,0.0,0.083,0.07407407407407407,0.06808035714285714,0.083,0.06666666666666667,0.09090909090909091,0.093,0.2,0.09317443120260022,0.093,0.1346153846153846,0.044444444444444446,0.077,0.03571428571428571,0.0755813953488372,0.077,0.038461538461538464,0.038461538461538464
0.095,0.12121212121212122,0.09090909090909091,0.095,0.16666666666666666,0.2222222222222222,0.092,0.2222222222222222,0.08461538461538462,0.092,0.08,0.0,0.085,0.07407407407407407,0.0728476821192053,0.085,0.0625,0.09090909090909091,0.096,0.2,0.09482758620689655,0.096,0.125,0.044444444444444446,0.079,0.07142857142857142,0.07736720554272518,0.079,0.07142857142857142,0.038461538461538464
0.102,0.26666666666666666,0.10105263157894737,0.102,0.19230769230769232,0.2,0.097,0.3888888888888889,0.08893709327548807,0.097,0.11666666666666667,0.0,0.089,0.2222222222222222,0.08052230685527748,0.089,0.15,0.09090909090909091,0.107,0.37142857142857144,0.10465116279069768,0.107,0.1527777777777778,0.044444444444444446,0.081,0.14285714285714285,0.07931034482758621,0.081,0.11764705882352941,0.0392156862745098
0.105,0.3333333333333333,0.10261780104712041,0.105,0.19642857142857142,0.2,0.098,0.4444444444444444,0.09317443120260022,0.098,0.125,0.0,0.09,0.25925925925925924,0.08152173913043478,0.09,0.16666666666666666,0.09090909090909091,0.107,0.37142857142857144,0.10465116279069768,0.107,0.1527777777777778,0.044444444444444446,0.081,0.17857142857142858,0.08045977011494253,0.081,0.1388888888888889,0.04
0.147,0.17857142857142858,0.1483739837398374,0.147,0.23076923076923078,0.2,0.136,0.13333333333333333,0.13415892672858618,0.136,0.07352941176470588,0.0821917808219178,0.128,0.061224489795918366,0.12719751809720786,0.128,0.075,0.10666666666666667,0.137,0.20408163265306123,0.13948717948717948,0.137,0.1388888888888889,0.09090909090909091,0.13,0.0625,0.12849740932642487,0.13,0.07142857142857142,0.06666666666666667
0.15,0.21428571428571427,0.1511156186612576,0.15,0.27586206896551724,0.2,0.14,0.2,0.13917525773195877,0.14,0.0945945945945946,0.0821917808219178,0.133,0.12244897959183673,0.1309278350515464,0.133,0.09090909090909091,0.10666666666666667,0.139,0.20408163265306123,0.1403688524590164,0.139,0.13157894736842105,0.09090909090909091,0.134,0.10416666666666667,0.1322314049586777,0.134,0.10416666666666667,0.06666666666666667
0.154,0.25,0.15470171890798787,0.154,0.2727272727272727,0.2,0.144,0.26666666666666666,0.14300411522633744,0.144,0.10975609756097561,0.0821917808219178,0.135,0.16326530612244897,0.13360739979445016,0.135,0.10869565217391304,0.10666666666666667,0.143,0.24489795918367346,0.1446028513238289,0.143,0.1282051282051282,0.09090909090909091,0.136,0.14583333333333334,0.13429752066115702,0.136,0.1346153846153846,0.06666666666666667
0.167,0.375,0.16800804828973842,0.167,0.28888888888888886,0.2,0.15,0.4,0.14780835881753313,0.15,0.14130434782608695,0.0821917808219178,0.143,0.2857142857142857,0.1411042944785276,0.143,0.1724137931034483,0.10666666666666667,0.154,0.3469387755102041,0.15602836879432624,0.154,0.14583333333333334,0.09090909090909091,0.142,0.20833333333333334,0.14094650205761317,0.142,0.15625,0.06666666666666667
0.171,0.4107142857142857,0.1716867469879518,0.171,0.28125,0.2,0.151,0.43333333333333335,0.14867617107942974,0.151,0.14893617021276595,0.0821917808219178,0.145,0.32653061224489793,0.14314928425357873,0.145,0.1935483870967742,0.10666666666666667,0.154,0.3469387755102041,0.15602836879432624,0.154,0.14583333333333334,0.09090909090909091,0.143,0.22916666666666666,0.14182939362795477,0.143,0.16666666666666666,0.06666666666666667
0.379,0.425,0.379,0.379,0.3933333333333333,0.3853211009174312,0.352,0.44,0.352,0.352,0.35526315789473684,0.36363636363636365,0.362,0.38461538461538464,0.362,0.362,0.4017857142857143,0.41284403669724773,0.364,0.4166666666666667,0.364,0.364,0.3787878787878788,0.3431372549019608,0.329,0.27102803738317754,0.329,0.329,0.3469387755102041,0.3686635944700461
0.379,0.425,0.379,0.379,0.3933333333333333,0.3853211009174312,0.352,0.44,0.352,0.352,0.35526315789473684,0.36363636363636365,0.362,0.38461538461538464,0.362,0.362,0.4017857142857143,0.41284403669724773,0.365,0.425,0.365,0.365,0.3805970149253731,0.3431372549019608,0.33,0.2803738317757009,0.33,0.33,0.35,0.3686635944700461
0.379,0.425,0.379,0.379,0.3933333333333333,0.3853211009174312,0.353,0.45,0.353,0.353,0.35714285714285715,0.36363636363636365,0.362,0.38461538461538464,0.362,0.362,0.4017857142857143,0.41284403669724773,0.367,0.43333333333333335,0.367,0.367,0.38405797101449274,0.3431372549019608,0.331,0.2897196261682243,0.331,0.331,0.3627450980392157,0.3686635944700461
0.381,0.43333333333333335,0.381,0.381,0.3881578947368421,0.3853211009174312,0.355,0.47,0.355,0.355,0.36075949367088606,0.36363636363636365,0.366,0.4076923076923077,0.366,0.366,0.4083333333333333,0.41284403669724773,0.367,0.43333333333333335,0.367,0.367,0.38405797101449274,0.3431372549019608,0.334,0.308411214953271,0.334,0.334,0.37037037037037035,0.3686635944700461
0.379,0.425,0.379,0.379,0.3933333333333333,0.3853211009174312,0.354,0.46,0.354,0.354,0.358974358974359,0.36363636363636365,0.364,0.3923076923076923,0.364,0.364,0.4051724137931034,0.41284403669724773,0.367,0.43333333333333335,0.367,0.367,0.38405797101449274,0.3431372549019608,0.332,0.29906542056074764,0.332,0.332,0.36538461538461536,0.3686635944700461
0.41,0.42962962962962964,0.41,0.41,0.40625,0.3682008368200837,0.391,0.47706422018348627,0.391,0.391,0.38271604938271603,0.39090909090909093,0.4,0.4084507042253521,0.4,0.4,0.45,0.42276422764227645,0.407,0.4418604651162791,0.407,0.407,0.4027777777777778,0.38626609442060084,0.382,0.31896551724137934,0.382,0.382,0.4,0.4262295081967213
0.41,0.42962962962962964,0.41,0.41,0.40625,0.3682008368200837,0.391,0.47706422018348627,0.391,0.391,0.38271604938271603,0.39090909090909093,0.401,0.4154929577464789,0.401,0.401,0.45081967213114754,0.42276422764227645,0.407,0.4418604651162791,0.407,0.407,0.4027777777777778,0.38626609442060084,0.382,0.31896551724137934,0.382,0.382,0.4,0.4262295081967213
0.41,0.42962962962962964,0.41,0.41,0.40625,0.3682008368200837,0.391,0.47706422018348627,0.391,0.391,0.38271604938271603,0.39090909090909093,0.401,0.4154929577464789,0.401,0.401,0.45081967213114754,0.42276422764227645,0.407,0.4418604651162791,0.407,0.407,0.4027777777777778,0.38626609442060084,0.382,0.31896551724137934,0.382,0.382,0.4,0.4262295081967213
0.406,0.4074074074074074,0.406,0.406,0.4090909090909091,0.3682008368200837,0.39,0.46788990825688076,0.39,0.39,0.38125,0.39090909090909093,0.399,0.4014084507042254,0.399,0.399,0.4491525423728814,0.42276422764227645,0.406,0.43410852713178294,0.406,0.406,0.39436619718309857,0.38626609442060084,0.379,0.3103448275862069,0.379,0.379,0.40350877192982454,0.4262295081967213
0.404,0.4,0.404,0.404,0.41333333333333333,0.3682008368200837,0.387,0.44036697247706424,0.387,0.387,0.3782051282051282,0.39090909090909093,0.396,0.3873239436619718,0.396,0.396,0.44642857142857145,0.42276422764227645,0.401,0.40310077519379844,0.401,0.401,0.3880597014925373,0.38626609442060084,0.374,0.2672413793103448,0.374,0.374,0.37735849056603776,0.4262295081967213
